2023/03/27 12:04:56 [emerg] 46068#10392: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/nginx.conf:73
2023/03/27 12:05:24 [emerg] 40304#14636: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/nginx.conf:73
2023/03/27 12:06:09 [emerg] 42128#23148: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/nginx.conf:33
2023/03/27 12:06:21 [emerg] 29628#35772: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/nginx.conf:33
2023/03/27 12:09:43 [notice] 12980#33692: signal process started
2023/03/27 12:09:43 [error] 12980#33692: CreateFile() "C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/logs/nginx.pid" failed (2: The system cannot find the file specified)
2023/03/27 12:10:19 [emerg] 17756#39536: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/leadnews.conf/heima-leadnews-app.conf:28
2023/03/27 12:11:50 [emerg] 18292#9744: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/leadnews.conf/heima-leadnews-app.conf:25
2023/03/27 12:12:39 [emerg] 14704#19580: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/leadnews.conf/heima-leadnews-app.conf:25
2023/03/27 12:13:22 [emerg] 24980#41608: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/leadnews.conf/heima-leadnews-app.conf:25
2023/03/27 12:14:17 [emerg] 35068#31444: unexpected "}" in C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/conf/leadnews.conf/heima-leadnews-app.conf:25
2023/03/27 12:22:59 [notice] 37556#10732: signal process started
2023/03/27 12:22:59 [error] 37556#10732: CreateFile() "C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/logs/nginx.pid" failed (2: The system cannot find the file specified)
2023/03/27 12:25:45 [notice] 29248#7372: signal process started
2023/03/27 12:25:45 [error] 29248#7372: CreateFile() "C:\Users\admin\Desktop\heima-Headlines\nginx-1.18.0\nginx-1.18.0/logs/nginx.pid" failed (2: The system cannot find the file specified)
2023/03/27 12:26:03 [error] 34536#36036: *2 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 12:38:07 [error] 34536#36036: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /app/user/api/v1/login/login_auth/ HTTP/1.1", upstream: "http://[::1]:51601/user/api/v1/login/login_auth/", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 12:38:09 [error] 34536#36036: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /app/user/api/v1/login/login_auth/ HTTP/1.1", upstream: "http://127.0.0.1:51601/user/api/v1/login/login_auth/", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 12:38:10 [error] 34536#36036: *7 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /app/user/api/v1/login/login_auth/ HTTP/1.1", upstream: "http://127.0.0.1:51601/user/api/v1/login/login_auth/", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 12:38:10 [error] 34536#36036: *7 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /app/user/api/v1/login/login_auth/ HTTP/1.1", upstream: "http://heima-app-gateway/user/api/v1/login/login_auth/", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 16:39:03 [error] 34536#36036: *56 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/group1/M00/00/00/wKjIgl9V2CqAZe18AAOoOOsvWPc041.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /group1/M00/00/00/wKjIgl9V2CqAZe18AAOoOOsvWPc041.png HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 16:39:03 [error] 34536#36036: *58 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/group1/M00/00/00/wKjIgl9V2n6AArZsAAGMmaPdt7w502.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /group1/M00/00/00/wKjIgl9V2n6AArZsAAGMmaPdt7w502.png HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 16:39:03 [error] 34536#36036: *57 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/group1/M00/00/00/wKjIgl892wqAANwOAAJW8oQUlAc087.jpg" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /group1/M00/00/00/wKjIgl892wqAANwOAAJW8oQUlAc087.jpg HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 16:39:03 [error] 34536#36036: *55 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/group1/M00/00/00/wKjIgl892xmAG_yjAAB6OkkuJd4819.jpg" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /group1/M00/00/00/wKjIgl892xmAG_yjAAB6OkkuJd4819.jpg HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 16:39:03 [error] 34536#36036: *56 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/group1/M00/00/00/wKjIgl892wKAZLhtAASZUi49De0836.jpg" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /group1/M00/00/00/wKjIgl892wKAZLhtAASZUi49De0836.jpg HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
2023/03/27 16:39:05 [error] 34536#36036: *56 CreateFile() "C:\Users\admin\Desktop\heima-Headlines\app-web/group1/M00/00/00/wKjIgl892vuAXr_MAASCMYD0yzc919.jpg" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /group1/M00/00/00/wKjIgl892vuAXr_MAASCMYD0yzc919.jpg HTTP/1.1", host: "localhost:8801", referrer: "http://localhost:8801/"
